Tawara 2003
Electron Impact 
multiple : cm^-2
Energy  : H 		: He		: Li		: Be		: B		: C		: N 		: O 		: F		: Ne
5.4 	: 0		: 0		: 0	 	: 0		: 0.		: 0.		: 0.		: 0.		: 0.   		: 0.
6 	: 0		: 0		: 1.00E-16 	: 0		: 0.		: 0.		: 0.		: 0.		: 0.   		: 0.
8 	: 0		: 0		: 2.80E-16 	: 0		: 0.		: 0.		: 0.		: 0.		: 0.   		: 0.
10 	: 0.		: 0.		: 3.85E-16 	: 2.50E-17 	: 3.00E-17 	: 0.		: 0.		: 0.		: 0.		: 0.
15 	: 9.00E-18 	: 0.		: 4.25E-16 	: 1.43E-16 	: 1.25E-16 	: 0. 		: 1.10E-17 	: 1.00E-17 	: 0.		: 0.
20 	: 3.10E-17 	: 0.		: 4.05E-16 	: 2.15E-16 	: 1.91E-16 	: 1.10E-16 	: 4.10E-17 	: 3.20E-17 	: 7.50E-18 	: 0.
25 	: 4.50E-17 	: 0. 		: 3.70E-16 	: 2.43E-16 	: 2.20E-16 	: 1.50E-16 	: 7.20E-17 	: 6.00E-17 	: 2.10E-17 	: 0.
30 	: 5.30E-17 	: 6.50E-18 	: 3.40E-16 	: 2.59E-16 	: 2.43E-16 	: 1.80E-16 	: 9.00E-17 	: 7.40E-17 	: 3.30E-17 	: 1.00E-17 
40 	: 6.10E-17 	: 1.75E-17 	: 2.90E-16 	: 2.60E-16 	: 2.52E-16 	: 2.10E-16 	: 1.21E-16 	: 1.05E-16 	: 5.10E-17 	: 2.30E-17 
50 	: 6.40E-17 	: 2.30E-17 	: 2.50E-16 	: 2.50E-16 	: 2.49E-16 	: 2.25E-16 	: 1.39E-16 	: 1.20E-16 	: 6.80E-17 	: 3.00E-17 
60	: 6.30E-17 	: 2.90E-17 	: 2.20E-16 	: 2.38E-16 	: 2.41E-16 	: 2.30E-16 	: 1.48E-16 	: 1.30E-16 	: 8.00E-17 	: 4.30E-17 
80	: 5.90E-17 	: 3.50E-17 	: 1.70E-16 	: 2.13E-16 	: 2.22E-16 	: 2.30E-16 	: 1.57E-16 	: 1.40E-16 	: 9.20E-17 	: 5.80E-17 
100 	: 5.40E-17 	: 3.65E-17 	: 1.45E-16 	: 1.91E-16 	: 2.03E-16 	: 2.15E-16 	: 1.56E-16 	: 1.45E-16 	: 9.60E-17 	: 6.80E-17 
150 	: 4.50E-17 	: 3.65E-17 	: 1.00E-16 	: 1.49E-16 	: 1.63E-16 	: 1.85E-16 	: 1.41E-16 	: 1.40E-16 	: 9.80E-17 	: 7.50E-17 
200 	: 3.80E-17 	: 3.45E-17 	: 8.00E-17 	: 1.29E-16 	: 1.46E-16 	: 1.60E-16 	: 1.28E-16 	: 1.25E-16 	: 9.00E-17 	: 7.40E-17 
300 	: 2.80E-17 	: 2.80E-17 	: 5.60E-17 	: 9.80E-17 	: 1.13E-16 	: 1.30E-16 	: 1.05E-16 	: 9.95E-17 	: 7.75E-17 	: 6.50E-17 
400 	: 2.30E-17 	: 2.35E-17 	: 4.40E-17 	: 8.20E-17 	: 9.40E-17 	: 1.10E-16 	: 9.10E-17 	: 8.50E-17 	: 6.75E-17 	: 5.70E-17 
600 	: 1.70E-17 	: 1.75E-17 	: 3.00E-17 	: 6.00E-17 	: 7.20E-17 	: 8.50E-17 	: 7.20E-17 	: 6.70E-17 	: 5.50E-17 	: 4.50E-17 
800 	: 1.35E-17 	: 1.45E-17 	: 2.35E-17 	: 4.90E-17 	: 5.80E-17 	: 7.20E-17 	: 5.90E-17 	: 5.40E-17 	: 4.55E-17 	: 3.80E-17 
1000 	: 1.10E-17 	: 1.20E-17 	: 1.90E-17 	: 4.10E-17 	: 4.90E-17 	: 6.20E-17 	: 5.00E-17 	: 4.65E-17 	: 3.91E-17 	: 3.20E-17 
2000 	: 6.30E-18 	: 7.00E-18 	: 1.00E-17 	: 2.40E-17 	: 2.90E-17 	: 3.90E-17 	: 3.10E-17 	: 2.80E-17 	: 2.40E-17 	: 1.95E-17 
4000 	: 3.50E-18 	: 3.90E-18 	: 5.30E-18 	: 1.40E-17 	: 1.70E-17 	: 2.20E-17 	: 1.80E-17 	: 1.60E-17 	: 1.43E-17 	: 1.15E-17 
6000 	: 2.40E-18 	: 2.75E-18 	: 3.80E-18 	: 1.00E-17 	: 1.25E-17 	: 1.55E-17 	: 1.30E-17 	: 1.20E-17 	: 1.05E-17 	: 7.80E-18 
10000 	: 1.60E-18 	: 1.80E-18 	: 2.45E-18 	: 7.00E-18 	: 8.50E-18 	: 1.00E-17 	: 8.50E-18 	: 7.60E-18 	: 7.00E-18 	: 5.10E-18
