Riainer et al. 1993
Ion-Neutral
H_2O : cm^-2
N_2+ : N_2+
Energy : N_2+ + H_2O -> N_2 + H_2O+ : N_2+ + H_2O -> N_2H+ + OH
 60.0000 : 8.10000e-15 : 3.00000e-15
 70.0000 : 8.20000e-15 : -1
 90.0000 : 7.60000e-15 : 2.70000e-15
 100.000 : 7.50000e-15 : -1
 120.000 : 7.00000e-15 : 2.20000e-15
 130.000 : 7.20000e-15 : -1
 140.000 : -1 : 2.10000e-15
 150.000 : 7.10000e-15 : -1
 170.000 : -1 : 2.00000e-15
 200.000 : 6.50000e-15 : -1
 210.000 : -1 : 1.95000e-15
 250.000 : 6.10000e-15 : -1
 260.000 : -1 : 1.70000e-15
 300.000 : 6.00000e-15 : -1
 400.000 : 5.10000e-15 : 1.30000e-15
 500.000 : 4.60000e-15 : 1.10000e-15
 600.000 : 4.20000e-15 : 1.10000e-15
 800.000 : 4.10000e-15 : 9.00000e-16
 1000.00 : 4.00000e-15 : 8.00000e-16
 1200.00 : 4.00000e-15 : 7.50000e-16
 1500.00 : 3.90000e-15 : 6.50000e-16
 2000.00 : 4.00000e-15 : 6.30000e-16
 2500.00 : 4.00000e-15 : 5.50000e-16
 3400.00 : 3.90000e-15 : 5.10000e-16
 4300.00 : -1 : 4.80000e-16
 4500.00 : 3.95000e-15 : -1
 6000.00 : 3.80000e-15 : 4.60000e-16
 8000.00 : 3.70000e-15 : 4.00000e-16
 10000.0 : 3.50000e-15 : 3.10000e-16
 12000.0 : 3.40000e-15 : 2.60000e-16
 15000.0 : 3.20000e-15 : 2.00000e-16
