Riainer et al. 1994
Ion-Neutral
H_2O : cm^-2
N+ : N+
Energy : N+ + H_2O -> N + H_2O+ : N+ + H_2O -> NO+ + H_2
 120.000 : 7.60000e-15 : 1.50000e-15
 150.000 : -1 : 1.20000e-15
 170.000 : 6.50000e-15 : -1
 200.000 : -1 : 1.10000e-15
 210.000 : 5.60000e-15 : -1
 220.000 : -1 : 9.00000e-16
 250.000 : 5.50000e-15 : 9.00000e-16
 300.000 : 5.30000e-15 : 8.00000e-16
 330.000 : 5.00000e-15 : -1
 400.000 : -1 : 5.00000e-16
 420.000 : 4.50000e-15 : -1
 500.000 : 4.30000e-15 : 4.00000e-16
 600.000 : 3.80000e-15 : 4.50000e-16
 700.000 : 3.60000e-15 : -1
 800.000 : -1 : 3.00000e-16
 900.000 : 3.30000e-15 : -1
 1000.00 : 3.20000e-15 : 2.30000e-16
 1200.00 : 3.10000e-15 : 2.20000e-16
 1300.00 : 2.90000e-15 : -1
 1500.00 : 3.00000e-15 : 2.30000e-16
 2000.00 : 2.70000e-15 : 2.20000e-16
 2500.00 : -1 : 3.00000e-16
 3000.00 : 2.60000e-15 : -1
 3500.00 : -1 : 3.50000e-16
 4000.00 : 2.70000e-15 : -1
 5000.00 : 2.80000e-15 : 4.00000e-16
 6000.00 : 2.90000e-15 : 4.20000e-16
 7000.00 : 2.95000e-15 : -1
 8000.00 : 2.95000e-15 : 4.00000e-16
 9000.00 : 2.90000e-15 : -1
 10000.0 : 2.85000e-15 : 2.40000e-16
 12000.0 : 2.80000e-15 : 1.10000e-16
 15000.0 : 2.70000e-15 : 5.00000e-17
 20000.0 : 2.80000e-15 : 1.80000e-17
 21000.0 : 3.00000e-15 : -1
