Gobet et al. 2001
Ion-Neutral
H_2O : cm^-2
H+ : H+ : H+
Energy : H+ + H_2O -> H + H_2O+ (?) : H+ + H_2O -> H + H_2O+ : H+ + H_2O -> H + H+ + OH
      20.00e3 :   1.10000e-15 : 7.0E-16 : 2.2e-16
      24.00e3 :   1.05000e-15 : 6.0E-16 : 2.1e-16
      30.00e3 :   1.02000e-15 : 5.2E-16 : 2.2e-16
      34.00e3 :   1.00000e-15 : 5.0E-16 : 2.2e-16
      42.00e3 :   9.50000e-16 : 4.3e-16 : 2.0e-16
      50.00e3 :   9.00000e-16 : 4.0e-16 : 2.0e-16
      65.00e3 :   8.10000e-16 : 3.2e-16 : 1.5e-16
      82.00e3 :   8.00000e-16 : 3.1e-16 : 1.4e-16
      93.00e3 :   6.50000e-16 : 3.0e-16 : 1.2e-16
      110.0e3 :   6.50000e-16 : 2.9e-16 : 1.15e-16
      130.0e3 :   5.50000e-16 : 2.8e-16 : 1.0e-16
      140.0e3 :   5.00000e-16 : 2.5e-16 : 9.5e-17
      150.0e3 :   5.00000e-16 : 2.5e-16 : 9.0e-17

